s,a,r,sp
1,1,10,2
37,1,-1,0
0,0,-10,2
172,0,-1,0
0,1,-10,2
83,1,0,85
85,1,0,0
0,1,-10,2
181,1,-1,0
0,1,-10,2
106,1,-1,109
109,0,1,0
0,0,-10,2
155,0,0,0
0,0,-10,2
181,1,-1,0
0,0,-10,2
174,0,0,0
0,0,-10,2
37,1,-1,0
0,0,-10,2
113,0,-1,0
0,0,-10,2
92,0,1,1
1,1,10,2
182,1,-1,181
181,1,-1,0
0,0,-10,2
133,0,-1,1
1,0,10,2
118,0,-1,0
0,1,-10,2
86,0,0,0
0,1,-10,2
83,0,0,1
1,0,10,2
181,1,-1,0
0,0,-10,2
112,1,1,119
119,1,0,128
128,1,-1,0
0,1,-10,2
146,1,-1,138
138,1,0,0
0,0,-10,2
20,1,-1,12
12,0,0,0
0,0,-10,2
64,0,-1,1
1,0,10,2
42,1,1,52
52,0,1,0
0,1,-10,2
158,1,0,158
158,0,0,1
1,1,10,2
144,0,1,0
0,0,-10,2
178,0,1,0
0,0,-10,2
36,0,1,0
0,0,-10,2
73,0,1,1
1,1,10,2
181,1,-1,0
0,0,-10,2
180,0,1,0
0,0,-10,2
179,0,1,0
0,0,-10,2
170,1,1,177
177,0,0,0
0,0,-10,2
47,1,0,50
50,0,0,0
0,1,-10,2
168,1,1,178
178,1,-1,0
0,0,-10,2
174,1,0,0
0,1,-10,2
37,1,-1,0
0,1,-10,2
146,0,1,1
1,1,10,2
180,1,-1,180
180,0,1,1
1,0,10,2
122,1,0,0
0,0,-10,2
78,1,1,88
88,0,1,1
1,0,10,2
125,0,1,1
1,0,10,2
90,0,1,1
1,1,10,2
37,1,-1,38
38,1,-1,0
0,1,-10,2
17,0,1,0
0,1,-10,2
123,1,0,0
0,1,-10,2
126,0,1,1
1,0,10,2
131,0,-1,1
1,1,10,2
105,0,0,0
0,1,-10,2
178,1,-1,180
180,0,1,1
1,1,10,2
29,0,0,0
0,1,-10,2
73,0,1,0
0,0,-10,2
54,1,-1,0
0,1,-10,2
15,0,0,0
0,1,-10,2
175,1,0,176
176,1,0,182
182,0,1,1
1,0,10,2
106,1,-1,107
107,0,1,1
1,0,10,2
173,1,0,0
0,1,-10,2
98,0,-1,0
0,1,-10,2
160,0,1,0
0,0,-10,2
65,1,0,72
72,1,-1,0
0,0,-10,2
177,1,0,182
182,1,-1,0
0,1,-10,2
63,0,-1,0
0,0,-10,2
72,0,1,1
1,1,10,2
175,1,0,180
180,0,1,0
0,0,-10,2
71,0,1,1
1,0,10,2
30,1,0,32
32,1,0,0
0,1,-10,2
91,1,-1,0
0,0,-10,2
172,0,-1,0
0,0,-10,2
161,0,1,0
0,1,-10,2
164,0,1,1
1,1,10,2
175,1,0,175
175,0,0,1
1,0,10,2
77,1,1,82
82,0,-1,0
0,0,-10,2
137,1,0,145
145,0,1,1
1,0,10,2
173,1,0,176
176,0,0,0
0,0,-10,2
181,1,-1,181
181,1,-1,182
182,1,-1,0
0,1,-10,2
154,1,1,161
161,1,-1,0
0,0,-10,2
72,1,-1,74
74,1,-1,0
0,0,-10,2
159,1,0,0
0,1,-10,2
105,1,0,0
0,1,-10,2
4,0,-1,1
1,1,10,2
92,0,1,1
1,0,10,2
30,0,0,0
0,0,-10,2
32,1,0,29
29,0,0,0
0,0,-10,2
32,0,0,1
1,1,10,2
133,0,-1,0
0,0,-10,2
178,1,-1,178
178,0,1,1
1,1,10,2
176,0,0,0
0,0,-10,2
173,1,0,0
0,1,-10,2
173,0,0,0
0,0,-10,2
80,1,1,88
88,0,1,1
1,1,10,2
50,1,0,0
0,0,-10,2
100,1,1,110
110,0,1,1
1,1,10,2
32,1,0,0
0,0,-10,2
174,1,0,0
0,1,-10,2
161,1,-1,0
0,1,-10,2
71,0,1,1
1,0,10,2
34,1,-1,0
0,1,-10,2
34,0,1,0
0,0,-10,2
87,0,0,0
0,1,-10,2
7,1,1,9
9,0,-1,0
0,0,-10,2
122,0,0,0
0,1,-10,2
170,1,1,175
175,1,0,0
0,0,-10,2
94,0,-1,1
1,0,10,2
97,1,1,107
107,0,1,1
1,1,10,2
178,1,-1,0
0,0,-10,2
50,0,0,0
0,1,-10,2
18,1,-1,14
14,0,0,0
0,0,-10,2
164,0,1,1
1,1,10,2
175,0,0,1
1,0,10,2
49,1,0,56
56,1,-1,0
0,0,-10,2
175,1,0,179
179,1,-1,0
0,0,-10,2
121,0,0,0
0,0,-10,2
171,0,-1,0
0,0,-10,2
139,1,0,144
144,1,-1,0
0,1,-10,2
103,1,0,0
0,0,-10,2
175,1,0,173
173,0,0,0
0,1,-10,2
163,0,1,1
1,0,10,2
66,0,0,1
1,1,10,2
158,1,0,0
0,1,-10,2
15,1,0,16
16,1,-1,0
0,0,-10,2
179,0,1,0
0,1,-10,2
4,1,1,10
10,0,-1,0
0,0,-10,2
161,1,-1,0
0,0,-10,2
127,0,1,1
1,1,10,2
13,1,0,14
14,1,0,18
18,1,-1,0
0,0,-10,2
18,0,1,0
0,0,-10,2
71,0,1,0
0,1,-10,2
94,0,-1,0
0,1,-10,2
47,0,0,0
0,1,-10,2
180,1,-1,0
0,1,-10,2
68,1,0,68
68,1,0,0
0,1,-10,2
36,0,1,1
1,1,10,2
87,1,0,89
89,1,-1,0
0,0,-10,2
168,0,-1,1
1,0,10,2
28,0,-1,0
0,1,-10,2
91,1,-1,0
0,0,-10,2
176,0,0,0
0,0,-10,2
139,1,0,144
144,1,-1,142
142,1,-1,0
0,0,-10,2
107,0,1,0
0,0,-10,2
52,1,-1,53
53,0,1,0
0,0,-10,2
92,1,-1,83
83,0,0,1
1,1,10,2
178,1,-1,0
0,0,-10,2
174,0,0,1
1,1,10,2
171,0,-1,1
1,1,10,2
16,0,1,1
1,0,10,2
65,0,0,0
0,1,-10,2
83,0,0,0
0,1,-10,2
67,1,0,70
70,0,1,1
1,0,10,2
178,1,-1,0
0,1,-10,2
106,0,1,0
0,0,-10,2
170,0,-1,0
0,0,-10,2
103,0,0,0
0,1,-10,2
172,1,1,181
181,0,1,1
1,0,10,2
177,1,0,173
173,1,0,0
0,0,-10,2
99,1,1,109
109,0,1,1
1,0,10,2
79,0,-1,0
0,1,-10,2
173,0,0,0
0,1,-10,2
113,0,-1,0
0,0,-10,2
100,0,-1,0
0,1,-10,2
119,1,0,0
0,0,-10,2
174,0,0,1
1,0,10,2
20,1,-1,17
17,0,1,0
0,0,-10,2
92,1,-1,91
91,1,-1,0
0,1,-10,2
141,0,0,0
0,1,-10,2
100,1,1,110
110,1,-1,0
0,0,-10,2
176,0,0,0
0,0,-10,2
55,0,1,0
0,0,-10,2
105,0,0,1
1,1,10,2
106,0,1,1
1,0,10,2
36,0,1,1
1,0,10,2
73,1,-1,0
0,1,-10,2
33,0,0,0
0,1,-10,2
129,0,-1,0
0,0,-10,2
164,0,1,1
1,0,10,2
80,0,-1,1
1,0,10,2
69,0,0,0
0,1,-10,2
123,1,0,126
126,1,-1,0
0,1,-10,2
172,0,-1,0
0,1,-10,2
26,0,-1,1
1,1,10,2
157,1,0,0
0,0,-10,2
166,0,-1,1
1,0,10,2
145,0,1,1
1,1,10,2
103,1,0,0
0,1,-10,2
176,0,0,0
0,0,-10,2
174,0,0,0
0,1,-10,2
163,0,1,1
1,1,10,2
13,0,0,0
0,0,-10,2
180,0,1,0
0,1,-10,2
120,0,0,0
0,0,-10,2
176,1,0,177
177,1,0,182
182,1,-1,0
0,1,-10,2
155,1,0,159
159,0,0,1
1,0,10,2
8,1,1,16
16,0,1,0
0,1,-10,2
29,1,0,31
31,1,0,35
35,0,1,1
1,1,10,2
27,0,-1,1
1,1,10,2
178,0,1,0
0,1,-10,2
86,0,0,1
1,1,10,2
139,1,0,144
144,0,1,1
1,1,10,2
181,1,-1,182
182,1,-1,0
0,1,-10,2
36,1,-1,34
34,1,-1,0
0,0,-10,2
106,1,-1,109
109,1,-1,0
0,0,-10,2
168,0,-1,0
0,1,-10,2
65,0,0,0
0,0,-10,2
119,0,0,0
0,0,-10,2
127,0,1,1
1,1,10,2
45,0,-1,0
0,1,-10,2
90,1,-1,0
0,0,-10,2
178,0,1,0
0,1,-10,2
49,1,0,0
0,1,-10,2
36,0,1,1
1,1,10,2
175,0,0,0
0,0,-10,2
177,1,0,179
179,0,1,1
1,0,10,2
73,1,-1,0
0,1,-10,2
49,1,0,0
0,1,-10,2
91,0,1,1
1,0,10,2
170,1,1,172
172,1,1,178
178,0,1,0
0,0,-10,2
105,0,0,1
1,0,10,2
54,0,1,0
0,0,-10,2
123,1,0,125
125,1,-1,126
126,0,1,1
1,1,10,2
175,1,0,178
178,0,1,0
0,1,-10,2
5,1,1,7
7,1,1,17
17,0,1,1
1,0,10,2
50,1,0,0
0,1,-10,2
156,1,0,0
0,0,-10,2
160,1,-1,0
0,0,-10,2
122,0,0,0
0,1,-10,2
16,1,-1,0
0,0,-10,2
176,1,0,0
0,1,-10,2
118,0,-1,0
0,1,-10,2
51,0,0,1
1,0,10,2
182,0,1,0
0,0,-10,2
171,1,1,175
175,0,0,1
1,1,10,2
176,1,0,176
176,1,0,177
177,1,0,0
0,1,-10,2
168,0,-1,0
0,1,-10,2
84,1,0,0
0,1,-10,2
88,0,1,1
1,1,10,2
71,0,1,1
1,1,10,2
33,0,0,0
0,1,-10,2
146,1,-1,142
142,0,1,0
0,1,-10,2
73,0,1,0
0,0,-10,2
163,1,-1,0
0,0,-10,2
170,0,-1,0
0,0,-10,2
170,1,1,172
172,1,1,182
182,0,1,1
1,0,10,2
36,0,1,0
0,0,-10,2
50,1,0,54
54,1,-1,54
54,1,-1,0
0,0,-10,2
104,1,0,0
0,1,-10,2
49,1,0,56
56,1,-1,48
48,0,0,1
1,0,10,2
156,1,0,162
162,1,-1,162
162,0,1,0
0,0,-10,2
156,1,0,163
163,1,-1,0
0,1,-10,2
138,0,0,0
0,1,-10,2
176,0,0,1
1,0,10,2
17,1,-1,18
18,1,-1,0
0,0,-10,2
43,1,1,46
46,0,-1,0
0,1,-10,2
122,0,0,0
0,1,-10,2
99,1,1,108
108,1,-1,0
0,0,-10,2
146,1,-1,140
140,0,0,0
0,1,-10,2
73,0,1,1
1,1,10,2
26,0,-1,0
0,1,-10,2
176,1,0,0
0,0,-10,2
56,0,1,1
1,1,10,2
178,0,1,0
0,1,-10,2
126,1,-1,126
126,0,1,1
1,0,10,2
66,0,0,0
0,0,-10,2
103,1,0,0
0,0,-10,2
64,1,1,74
74,0,1,1
1,0,10,2
178,0,1,1
1,1,10,2
116,1,1,123
123,0,0,1
1,1,10,2
128,0,1,1
1,1,10,2
78,0,-1,0
0,0,-10,2
32,0,0,0
0,1,-10,2
182,1,-1,179
179,1,-1,0
0,0,-10,2
181,1,-1,0
0,1,-10,2
123,0,0,0
0,1,-10,2
179,1,-1,0
0,1,-10,2
170,0,-1,0
0,0,-10,2
169,0,-1,0
0,1,-10,2
29,0,0,0
0,1,-10,2
174,0,0,0
0,1,-10,2
143,0,1,1
1,0,10,2
31,0,0,0
0,1,-10,2
130,1,1,136
136,1,1,146
146,0,1,1
1,0,10,2
145,1,-1,0
0,0,-10,2
110,1,-1,110
110,0,1,1
1,0,10,2
37,0,1,1
1,1,10,2
181,0,1,1
1,1,10,2
37,0,1,1
1,0,10,2
